"Program Name","Program Arthur","Program Description","Program Length","Program Level","Program Equipment","Days Per Week","Mesocycle Name","Mesocycle Description","Mesocycle Order","Microcycle Name","Microcycle Description","Microcycle Order","Workout Name","Workout Day","Workout Notes","Exercise Name","Sets","Set Type","Target Repetitions","Target Min Repetitions","Target Max Repetitions","Target Weight (lbs)","Target Weight (kg)","Weight Increment (lbs)","Weight Increment (kg)","Target RPE","Target RIR","Percentage of 1RM","Progression Scheme ID","Advanced Exercise Sets"
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 1 and 3 are repeated; Days 2 and 4 are repeated.","1","Workout Day 1","Day 1, 3","","Bodyweight Feet-Elevated Glute Bridge","3","Straight Set","20","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 1 and 3 are repeated; Days 2 and 4 are repeated.","1","Workout Day 1","Day 1, 3","","Bodyweight Torso-Elevated Push-up","3","Straight Set","10","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 1 and 3 are repeated; Days 2 and 4 are repeated.","1","Workout Day 1","Day 1, 3","","Bodyweight Parallel Box Squat","3","Straight Set","20","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 1 and 3 are repeated; Days 2 and 4 are repeated.","1","Workout Day 1","Day 1, 3","","Bodyweight Inverted Row","3","Straight Set","10","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 1 and 3 are repeated; Days 2 and 4 are repeated.","1","Workout Day 1","Day 1, 3","","Bodyweight Side-Lying Clam","3","Straight Set","20","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 1 and 3 are repeated; Days 2 and 4 are repeated.","1","Workout Day 1","Day 1, 3","","Bodyweight Side Plank","2","Straight Set","20 sec","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 2 and 4 are repeated.","2","Workout Day 2","Day 2, 4","","Bodyweight Glute Bridge","3","Straight Set","20","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 2 and 4 are repeated.","2","Workout Day 2","Day 2, 4","","Bodyweight Knee Push-up","3","Straight Set","10","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 2 and 4 are repeated.","2","Workout Day 2","Day 2, 4","","Bodyweight Medium Step-up","3","Straight Set","10 each leg","","","","","","","","","",""
"Novice Program","Bret Contreras","A program designed for beginners focusing on basic movements to build a solid foundation.","12 weeks","Novice","Bodyweight, dumbbells, resistance band","4","Weeks 1-4","Bodyweight exercises to get accustomed to foundational movements.","1","Week 1-4","Days 2 and 4 are repeated.","2","Workout Day 2","Day 2, 4","","Bodyweight Bent-Over YTWL","3","Straight Set","10","","","","","","","","","",""
