"Program Name","Program Arthur","Program Description","Program Length","Program Level","Program Equipment","Days Per Week","Mesocycle Name","Mesocycle Description","Mesocycle Order","Microcycle Name","Microcycle Description","Microcycle Order","Workout Name","Workout Day","Workout Notes","Exercise Name","Sets","Set Type","Target Repetitions","Target Min Repetitions","Target Max Repetitions","Target Weight (lbs)","Target Weight (kg)","Weight Increment (lbs)","Weight Increment (kg)","Target RPE","Target RIR","Percentage of 1RM","Progression Scheme ID","Advanced Exercise Sets"
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A","Paired with A2","Bodyweight glute bridge","3", "Superset","10-20 reps","10","20",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A","Paired with A1","One arm dumbbell row","3","Superset","8-12 reps (each)","8","12",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A","Paired with B2","Bodyweight box squat","3","Superset","10-20 reps","10","20",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A","Paired with B1","Barbell bench press","3","Superset","8-12 reps","8","12",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A",,"Dumbbell Romanian deadlift","3", "Straight Set","10-20 reps","10","20",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A",,"Side lying abduction","1", "Straight Set","15-30 reps (each)","15","30",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A",,"Front plank","1", "Straight Set","20-120 seconds","20","120",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout A",,"1","Booty-ful Beginnings Workout A","Day A",,"Side plank from knees","1", "Straight Set","20-60 seconds (each)","20","60",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout B",,"2","Booty-ful Beginnings Workout B","Day B","Paired with A2","Bodyweight foot elevated single-leg glute bridge","3", "Superset","10-20 reps","10","20",,,,,,,,
"Booty-ful Beginnings",,"12-week program for beginners.","12 weeks","Beginner","Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball","3","Weeks 1-4",,"1","Workout B",,"2","Booty-ful Beginnings Workout B","Day B","Paired with A1","Front lat pulldown","3", "Superset","8-12 reps (each)","8","12",,,,,,,,
